Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,77,0.021621467,0.015,0.001490684,0.09,0%,0,0,0.083333333,20906.27839,20906.27839,27178.1619,-5.744810294,-0.347151629,0.0000000,0,0,0,7.692%,0.998509316,0.998509316,0.998509316,0.039019025,20906.27839,31.16464781,0,0,0,0,0,20875.11374,4.348982029,1199.721629,1.788405442,0,19672.8315,0,0.993186781
2,1,2,77,0.021621467,0.015,0.001488792,0.09,0%,0,0,0.083333333,,20875.11374,27137.64786,-5.744810294,-0.347151629,0.0042653,0,0,0,7.692%,0.994252239,0.994252239,0.994252239,0.03896086,20875.11374,31.04440252,80.93608446,0,0,8.004667694,0,20755.12858,4.323985122,0,6.885433291,0,-109.4190,0,3.82380928
3,1,3,77,0.021621467,0.015,0.001486903,0.09,0%,0,0,0.083333333,,20755.12858,26981.66716,-5.744810294,-0.347151629,0.0042653,0,0,0,7.692%,0.994254121,0.994254121,0.994254121,0.038736923,20755.12858,30.82682872,80.47096689,0,0,7.958667055,0,20635.87212,4.299140025,0,6.843616782,0,-108.7533,0,3.845110136
4,1,4,77,0.021621467,0.015,0.001485016,0.09,0%,0,0,0.083333333,,20635.87212,26826.63376,-5.744810294,-0.347151629,0.0042653,0,0,0,7.692%,0.994256,0.994256,0.994256,0.038514345,20635.87212,30.61083809,80.00867356,0,0,7.912945736,0,20517.33966,4.274445763,0,6.802069225,0,-108.0919,0,3.866538172
5,1,5,77,0.021621467,0.015,0.001483131,0.09,0%,0,0,0.083333333,,20517.33966,26672.54156,-5.744810294,-0.347151629,0.0042653,0,0,0,7.692%,0.994257876,0.994257876,0.994257876,0.038293118,20517.33966,30.39641863,79.5491863,0,0,7.867501942,0,20399.52656,4.249901366,0,6.760788785,0,-107.4347,0,3.888094181
6,1,6,77,0.021621467,0.015,0.001481249,0.09,0%,0,0,0.083333333,,20399.52656,26519.38452,-5.744810294,-0.347151629,0.0042653,0,0,0,7.692%,0.99425975,0.99425975,0.99425975,0.038073235,20399.52656,30.18355846,79.09248709,0,0,7.822333888,0,20282.42818,4.22550587,0,6.719773644,0,-106.7818,0,3.909778962
7,1,7,77,0.021621467,0.015,0.001479369,0.09,0%,0,0,0.083333333,,20282.42818,26367.15663,-5.744810294,-0.347151629,0.0042653,0,0,0,7.692%,0.994261622,0.994261622,0.994261622,0.037854685,20282.42818,29.97224578,78.638558,0,0,7.777439802,0,20166.03993,4.20125832,0,3.339510997,0,-109.4726,0,3.931593318
8,1,8,77,0.021621467,0.015,0.001477492,0.09,0%,0,0,0.083333333,,20166.03993,26215.85191,-5.744810294,-0.347151629,0.0042653,0,0,0,7.692%,0.994263491,0.994263491,0.994263491,0.03763746,20166.03993,29.76246888,78.18738125,0,0,7.732817926,0,20050.35727,4.177157764,0,3.31926602,0,-108.8077,0,3.953538058
9,1,9,77,0.021621467,0.015,0.001475617,0.09,0%,0,0,0.083333333,,20050.35727,26065.46445,-5.744810294,-0.347151629,0.0042653,0,0,0,7.692%,0.994265358,0.994265358,0.994265358,0.037421553,20050.35727,29.55421615,77.73893915,0,0,7.68846651,0,19935.37564,4.153203259,0,3.299151002,0,-108.1472,0,3.975613995
10,1,10,77,0.021621467,0.015,0.001473745,0.09,0%,0,0,0.083333333,,19935.37564,25915.98834,-5.744810294,-0.347151629,0.0042653,0,0,0,7.692%,0.994267222,0.994267222,0.994267222,0.037206953,19935.37564,29.34747607,77.29321417,0,0,7.644383819,0,19821.09057,4.129393869,0,3.279165059,0,-107.4909,0,3.99782195
11,1,11,77,0.021621467,0.015,0.001471875,0.09,0%,0,0,0.083333333,,19821.09057,25767.41774,-5.744810294,-0.347151629,0.0042653,0,0,0,7.692%,0.994269085,0.994269085,0.994269085,0.036993654,19821.09057,29.14223721,76.85018886,0,0,7.600568129,0,19707.49758,4.105728662,0,3.259307311,0,-106.8388,0,4.020162745
12,1,12,77,0.021621467,0.015,0.001470007,0.09,0%,0,0,0.083333333,,19707.49758,25619.74685,-5.744810294,-0.347151629,0.0042653,0.005,0,0,7.692%,0.987808183,0.994270944,0.994270944,0.036781647,19707.49758,28.86714125,76.22145976,0,127.6432142,7.53838613,0,19467.22737,4.05567237,0,3.23957689,0,-105.9047,0,8.603004559
13,2,1,78,0.02461704,0.015,0.001673432,0.09,5%,0,0.000837177,0.083333333,,19467.22737,27432.42911,-5.225146045,-0.347151629,0.0042653,0,0.0378,0,7.143%,0.993236175,0.993236175,0.994068387,0.036570923,20203.08857,33.7481078,78.66408908,16.88335639,0,7.354597722,735.8611948,20066.43842,4.180508004,0,0,62.57323085,-196.0493,91.98264935,96.75250068
