Month,BOP_AV,BOP_BB,Lives,Mortality,Lapse,PWD,RiderCharges,SurrCharges,Interest,EOP_AV,Expenses,AgentComm,IMOOverride,WholesalerOverride,BonusComp,Chargebacks,HedgeGains,NetCashflow
1,100000000.00,130000000.00,806.57314264,47171.86,0.00,46323.02,0.00,0.00,56555.78,99963060.90,20825.64,6785771.95,2562281.97,341637.60,0.00,4260.03,1127.56,90201375.56
2,99963060.90,129938673.06,806.00335317,47073.50,17610.82,46293.63,0.00,1741.73,56630.85,99906972.07,20813.95,0.00,0.00,0.00,0.00,6124.98,1586.74,-124080.19
3,99906972.07,129852326.31,805.43442346,46972.98,17611.57,46258.77,0.00,1741.80,56695.14,99851082.09,20802.31,0.00,0.00,0.00,0.00,6116.06,1601.60,-123927.97
4,99851082.09,129766113.21,804.86635134,46872.76,17612.49,46224.04,0.00,1741.89,56759.55,99795390.46,20790.71,0.00,0.00,0.00,0.00,6107.15,1616.61,-123776.22
5,99795390.46,129680033.43,804.29913466,46772.85,17613.58,46189.42,0.00,1742.00,56824.10,99739896.71,20779.15,0.00,0.00,0.00,0.00,6098.27,1631.77,-123624.95
6,99739896.71,129594086.65,803.73277126,46673.24,17614.84,46154.92,0.00,1742.13,56888.77,99684600.35,20767.63,0.00,0.00,0.00,0.00,6089.41,1647.07,-123474.15
7,99684600.35,129508272.55,803.16725899,46573.93,17616.28,46120.54,0.00,1742.27,56953.57,99629500.89,20756.15,0.00,0.00,0.00,0.00,3040.28,1662.52,-126364.10
8,99629500.89,129422590.80,802.60259571,46474.93,17617.89,46086.28,0.00,1742.43,57018.51,99574597.86,20744.71,0.00,0.00,0.00,0.00,3035.87,1678.12,-126209.82
9,99574597.86,129337041.09,802.03877928,46376.23,17619.68,46052.14,0.00,1742.61,57083.57,99519890.77,20733.31,0.00,0.00,0.00,0.00,3031.47,1693.87,-126056.02
10,99519890.77,129251623.09,801.47580757,46277.83,17621.64,46018.12,0.00,1742.80,57148.76,99465379.14,20721.95,0.00,0.00,0.00,0.00,3027.08,1709.77,-125902.70
