Month,BOP_AV,BOP_BB,Lives,Mortality,Lapse,PWD,RiderCharges,SurrCharges,Interest,EOP_AV,Expenses,AgentComm,IMOOverride,WholesalerOverride,BonusComp,Chargebacks,HedgeGains,NetCashflow,Calculated
1,100000000,130000000,806.5731426,47171.86,0,46323.02,0,0,56555.78,99963060.9,20825.64,6785771.95,2562281.97,341637.6,0,4260.03,1127.56,90223337.18,90201375.55
2,99963060.9,129938673.1,806.0033532,47073.5,17610.82,46293.63,0,1741.73,56630.85,99906972.07,20813.95,0,0,0,0,6124.98,1586.74,-104457.63,-124080.18
3,99906972.07,129852326.3,805.4344235,46972.98,17611.57,46258.77,0,1741.8,56695.14,99851082.09,20802.31,0,0,0,0,6116.06,1601.6,-104264.4,-123927.97
4,99851082.09,129766113.2,804.8663513,46872.76,17612.49,46224.04,0,1741.89,56759.55,99795390.46,20790.71,0,0,0,0,6107.15,1616.61,-104071.76,-123776.24
5,99795390.46,129680033.4,804.2991347,46772.85,17613.58,46189.42,0,1742,56824.1,99739896.71,20779.15,0,0,0,0,6098.27,1631.77,-103879.71,-123624.96
6,99739896.71,129594086.7,803.7327713,46673.24,17614.84,46154.92,0,1742.13,56888.77,99684600.35,20767.63,0,0,0,0,6089.41,1647.07,-103688.26,-123474.15
7,99684600.35,129508272.6,803.167259,46573.93,17616.28,46120.54,0,1742.27,56953.57,99629500.89,20756.15,0,0,0,0,3040.28,1662.52,-106537.67,-126364.1
8,99629500.89,129422590.8,802.6025957,46474.93,17617.89,46086.28,0,1742.43,57018.51,99574597.86,20744.71,0,0,0,0,3035.87,1678.12,-106342.97,-126209.82
9,99574597.86,129337041.1,802.0387793,46376.23,17619.68,46052.14,0,1742.61,57083.57,99519890.77,20733.31,0,0,0,0,3031.47,1693.87,-106148.86,-126056.02
10,99519890.77,129251623.1,801.4758076,46277.83,17621.64,46018.12,0,1742.8,57148.76,99465379.14,20721.95,0,0,0,0,3027.08,1709.77,-105955.33,-125902.69
11,99465379.14,129166336.5,800.9136785,46179.73,17623.78,45984.22,0,1743.01,57214.09,99411062.49,20710.64,0,0,0,0,3022.7,1725.82,-105762.38,-125749.85
12,99411062.49,129081181,800.3523898,46052.52,17617.65,45950.44,730731.37,1742.41,57279.54,98626247.64,20547.13,0,0,0,0,3018.33,21379.12,-85752.32,-105770.29
13,98626247.64,138255381.3,799.6286538,52455.49,29898.19,146026.48,0,2795.29,2831773.77,101226846,21088.93,0,0,0,478254.16,0,351350.58,-356607.21,-376372.67
14,101226846,138034346.8,798.940887,52279.58,26421.79,145881.97,0,2470.27,56916.02,101056708.4,21053.48,0,0,0,0,0,3779.86,-221401.26,-241856.96
15,101056708.4,137818882.6,798.2421504,52104.82,27592.79,145739.64,0,2579.75,56916.21,100885607.6,21017.83,0,0,0,0,0,3856.67,-222453.09,-242598.41
16,100885607.6,137602069.9,797.5445393,51930.36,27560.47,145596.73,0,2576.73,56916.4,100714859.7,20982.26,0,0,0,0,0,3891.81,-221891.99,-242178.01
17,100714859.7,137385698.9,796.8480508,51756.52,27528.49,145454.26,0,2573.74,56916.59,100544463.2,20946.76,0,0,0,0,0,3927.27,-221332.55,-241758.76
18,100544463.2,137169768.7,796.1526821,51583.29,27496.87,145312.25,0,2570.78,56916.78,100374416.8,20911.34,0,0,0,0,0,3963.07,-220774.76,-241340.68
19,100374416.8,136954278.1,795.4584302,51410.66,27465.6,145170.68,0,2567.86,56916.98,100204719,20875.98,0,0,0,0,0,3999.21,-220218.62,-240923.71
20,100204719,136739226.1,794.7652924,51238.64,27434.69,145029.56,0,2564.97,56917.17,100035368.3,20840.7,0,0,0,0,0,4035.69,-219664.11,-240507.9
21,100035368.3,136524611.5,794.0732658,51067.22,27404.13,144888.89,0,2562.11,56917.37,99866363.32,20805.49,0,0,0,0,0,4072.5,-219111.22,-240093.23
22,99866363.32,136310433.4,793.3823475,50896.4,27373.93,144748.66,0,2559.29,56917.56,99697702.61,20770.35,0,0,0,0,0,4109.67,-218559.94,-239679.67
23,99697702.61,136096690.5,792.6925347,50726.17,27344.08,144608.87,0,2556.5,56917.76,99529384.74,20735.29,0,0,0,0,0,4147.18,-218010.26,-239267.23
24,99529384.74,135883381.9,792.0038246,50505.38,27289.39,144398.64,805105.96,2551.39,56917.95,98556451.93,20532.59,0,0,0,0,0,25830.88,-195499.75,-216895.12
25,98556451.93,144449220.6,791.082428,57599.88,47100.62,195151.35,0,3874.08,2835973.95,101088700,21060.15,0,0,0,0,0,353593.8,51965.11,32681.8
26,101088700,144131577,790.2147989,57362.09,41696.1,194868.83,0,3429.55,56412.2,100847755.6,21009.95,0,0,0,0,0,5204.17,-289259.15,-309732.8
27,100847755.6,143822919,789.3293288,57126.21,43607.74,194590.57,0,3586.78,56372.5,100605216.8,20959.42,0,0,0,0,0,5318.01,-290997.39,-310965.93
28,100605216.8,143512009.4,788.4454289,56890.69,43525.57,194311.02,0,3580.03,56332.77,100363242.3,20909.01,0,0,0,0,0,5363.37,-290045.94,-310272.92
29,100363242.3,143201906,787.563095,56656.1,43444.11,194032.39,0,3573.33,56293,100121829.3,20858.71,0,0,0,0,0,5409.12,-289097.97,-309582.19
30,100121829.3,142892606.6,786.6823229,56422.46,43363.37,193754.69,0,3566.68,56253.2,99880975.33,20808.54,0,0,0,0,0,5455.28,-288153.47,-308893.78
31,99880975.33,142584108.8,785.8031082,56189.74,43283.33,193477.89,0,3560.1,56213.36,99640677.62,20758.47,0,0,0,0,0,5501.85,-287212.42,-308207.58
32,99640677.62,142276410.4,784.9254467,55957.96,43204,193202.01,0,3553.58,56173.49,99400933.57,20708.53,0,0,0,0,0,5548.83,-286274.78,-307523.67
33,99400933.57,141969509,784.0493343,55727.09,43125.39,192927.05,0,3547.11,56133.58,99161740.51,20658.7,0,0,0,0,0,5596.23,-285340.55,-306842
34,99161740.51,141663402.5,783.1747667,55497.14,43047.5,192652.99,0,3540.7,56093.63,98923095.82,20608.98,0,0,0,0,0,5644.05,-284409.7,-306162.56
35,98923095.82,141358088.5,782.3017396,55268.1,42970.32,192379.83,0,3534.35,56053.65,98684996.87,20559.37,0,0,0,0,0,5692.29,-283482.2,-305485.33
36,98684996.87,141053564.7,781.4302487,54969.79,42841.79,191968.97,850701.65,3523.78,56013.62,97597004.51,20332.71,0,0,0,0,0,28618.06,-259226.38,-281495.2
37,97597004.51,149145529.8,780.2219755,62875.59,73889.7,251054.34,0,5263.7,2814203.36,100018124.5,20837.11,0,0,0,0,0,352863.1,-35159.04,-55793.64
