Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,67,0.00542256,0.013,0.000381578,0.09,0,0,0,0.083333333,80841.02598,80841.02598,105093.3338,-5.759711606,-0.347151629,0,0,0,0,0.076923077,0.999618422,0.999618422,0.999618422,0.784890245,80841.02598,30.84718894,0,0,0,0,0,80810.17879,16.83545392,8132.607214,3.103227207,0,72663.83935,0,0.983069678
2,1,2,67,0.00542256,0.013,0.000381162,0.09,0,0,0,0.083333333,0,80810.17879,105053.2324,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999433092,0.999433092,0.999433092,0.784590748,80810.17879,30.79789429,13.66276984,0,0,1.351262952,0,80764.36687,16.82590976,0,4.608679865,0,-56.67789403,0,1.459981215
3,1,3,67,0.00542256,0.013,0.000380745,0.09,0,0,0,0.083333333,0,80764.36687,104993.6769,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999433508,0.999433508,0.999433508,0.784145957,80764.36687,30.74681991,13.65502492,0,0,1.35049697,0,80718.61453,16.81637803,0,4.602685585,0,-56.61553727,0,1.475163604
4,1,4,67,0.00542256,0.013,0.00038033,0.09,0,0,0,0.083333333,0,80718.61453,104934.1989,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999433924,0.999433924,0.999433924,0.783701745,80718.61453,30.69584309,13.64729008,0,0,1.349731986,0,80672.92166,16.80685868,0,4.596702235,0,-56.55328961,0,1.49050489
5,1,5,67,0.00542256,0.013,0.000379914,0.09,0,0,0,0.083333333,0,80672.92166,104874.7982,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999434339,0.999434339,0.999434339,0.78325811,80672.92166,30.64496362,13.63956528,0,0,1.348967995,0,80627.28816,16.7973517,0,4.590729788,0,-56.49115082,0,1.506006746
6,1,6,67,0.00542256,0.013,0.000379499,0.09,0,0,0,0.083333333,0,80627.28816,104815.4746,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999434754,0.999434754,0.999434754,0.782815052,80627.28816,30.59418127,13.63185053,0,0,1.348204997,0,80581.71393,16.78785707,0,4.584768222,0,-56.42912064,0,1.521670864
7,1,7,67,0.00542256,0.013,0.000379085,0.09,0,0,0,0.083333333,0,80581.71393,104756.2281,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999435169,0.999435169,0.999435169,0.782372569,80581.71393,30.54349582,13.62414579,0,0,1.347442991,0,80536.19884,16.77837476,0,2.289408756,0,-58.65660762,0,1.537498952
8,1,8,67,0.00542256,0.013,0.000378671,0.09,0,0,0,0.083333333,0,80536.19884,104697.0585,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999435582,0.999435582,0.999435582,0.781930661,80536.19884,30.49290707,13.61645106,0,0,1.346681973,0,80490.7428,16.76890475,0,2.286438817,0,-58.59182406,0,1.553492736
9,1,9,67,0.00542256,0.013,0.000378257,0.09,0,0,0,0.083333333,0,80490.7428,104637.9656,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999435996,0.999435996,0.999435996,0.781489325,80490.7428,30.44241479,13.60876631,0,0,1.345921942,0,80445.3457,16.75944702,0,2.283474283,0,-58.52715383,0,1.569653961
10,1,10,67,0.00542256,0.013,0.000377844,0.09,0,0,0,0.083333333,0,80445.3457,104578.9494,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999436409,0.999436409,0.999436409,0.781048562,80445.3457,30.39201877,13.60109152,0,0,1.345162897,0,80400.00743,16.75000155,0,2.280515141,0,-58.46259669,0,1.585984392
11,1,11,67,0.00542256,0.013,0.000377432,0.09,0,0,0,0.083333333,0,80400.00743,104520.0097,-5.759711606,-0.347151629,0.000185817,0,0,0,0.076923077,0.999436822,0.999436822,0.999436822,0.78060837,80400.00743,30.34171879,13.59342667,0,0,1.344404836,0,80354.72788,16.74056831,0,2.27756138,0,-58.39815239,0,1.602485809
12,1,12,67,0.00542256,0.013,0.000377019,0.09,0,0,0,0.083333333,0,80354.72788,104461.1462,-5.759711606,-0.347151629,0.000185817,0.005,0,0,0.076923077,0.992940892,0.999437234,0.999437234,0.780168748,80354.72788,30.27929449,13.58029101,0,522.0300381,1.343105705,0,79787.49515,16.62239482,0,2.274612988,0,-58.20736734,0,20.31007478
