Month,PolicyYear,MonthInPY,Age,BOP_AV,BOP_BB,FinalMortality,FinalLapse,PWD_Rate,RiderChargeRate,CreditedRate,SurrChgPct,FPW_Pct,Lives,Mortality,Lapse,PWD,SurrChg,RiderChg,Interest,EOP_AV,BaseLapse,DynamicLapse,LapseSkew
1,1,1,57,2481.13400300,3225.47420400,0.00011390,0.00000000,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0493523524,0.28258933,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2480.85141367,-5.54830194,-0.34715163,0.08333333
2,1,2,57,2480.85141367,3225.10683787,0.00011378,0.00022962,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0493354062,0.28225137,0.51833830,0.00000000,0.05126423,0.00000000,0.00000000,2479.99955977,-5.54830194,-0.34715163,0.08333333
3,1,3,57,2479.99955977,3223.99942780,0.00011367,0.00022962,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0493184714,0.28187057,0.51816034,0.00000000,0.05124663,0.00000000,0.00000000,2479.14828223,-5.54830194,-0.34715163,0.08333333
4,1,4,57,2479.14828223,3222.89276700,0.00011355,0.00022962,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0493015482,0.28149032,0.51798251,0.00000000,0.05122904,0.00000000,0.00000000,2478.29758036,-5.54830194,-0.34715163,0.08333333
5,1,5,57,2478.29758036,3221.78685457,0.00011344,0.00022962,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0492846363,0.28111061,0.51780479,0.00000000,0.05121146,0.00000000,0.00000000,2477.44745349,-5.54830194,-0.34715163,0.08333333
6,1,6,57,2477.44745349,3220.68168964,0.00011332,0.00022962,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0492677359,0.28073145,0.51762720,0.00000000,0.05119390,0.00000000,0.00000000,2476.59790095,-5.54830194,-0.34715163,0.08333333
7,1,7,57,2476.59790095,3219.57727133,0.00011321,0.00022962,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0492508469,0.28035283,0.51744972,0.00000000,0.05117635,0.00000000,0.00000000,2475.74892205,-5.54830194,-0.34715163,0.08333333
8,1,8,57,2475.74892205,3218.47359876,0.00011310,0.00022962,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0492339693,0.27997475,0.51727237,0.00000000,0.05115881,0.00000000,0.00000000,2474.90051612,-5.54830194,-0.34715163,0.08333333
9,1,9,57,2474.90051612,3217.37067106,0.00011298,0.00022962,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0492171031,0.27959722,0.51709513,0.00000000,0.05114128,0.00000000,0.00000000,2474.05268249,-5.54830194,-0.34715163,0.08333333
10,1,10,57,2474.05268249,3216.26848734,0.00011287,0.00022962,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0492002482,0.27922023,0.51691801,0.00000000,0.05112376,0.00000000,0.00000000,2473.20542049,-5.54830194,-0.34715163,0.08333333
11,1,11,57,2473.20542049,3215.16704674,0.00011275,0.00022962,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.0491834047,0.27884377,0.51674102,0.00000000,0.05110625,0.00000000,0.00000000,2472.35872945,-5.54830194,-0.34715163,0.08333333
12,1,12,57,2472.35872945,3214.06634838,0.00011264,0.00022962,0.00000000,0.00500000,0.00000000,0.09000000,0.00000000,0.0491665726,0.27839731,0.51643327,0.00000000,0.05107582,16.06504632,0.00000000,2455.44777673,-5.54830194,-0.34715163,0.08333333
13,2,1,58,2455.44777673,3460.11765227,0.00012664,0.00038161,0.00083718,0.00000000,0.03780000,0.09000000,0.05000000,0.0491415863,0.32258594,0.88898522,2.13259744,0.08311453,0.00000000,92.81592596,2544.83641956,-5.04115227,-0.34715163,0.08333333
14,2,2,58,2544.83641956,3455.46397265,0.00012651,0.00033624,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,0.0491188481,0.32183481,0.78226253,2.12977485,0.07313663,0.00000000,0.00000000,2541.52941074,-5.04115227,-0.47346800,0.08333333
15,2,3,58,2541.52941074,3450.97360551,0.00012638,0.00035686,0.00083718,0.00000000,0.00000000,0.09000000,0.05000000,0.0490951142,0.32109002,0.82913811,2.12698637,0.07751920,0.00000000,0.00000000,2538.17467705,-5.04115227,-0.41407486,0.08333333
