Month,PolicyYear,MonthInPY,Age,BOP_AV,BOP_BB,FinalMortality,FinalLapse,PWD_Rate,RiderChargeRate,CreditedRate,SurrChgPct,FPW_Pct,Lives,Mortality,Lapse,PWD,SurrChg,RiderChg,Interest,EOP_AV,BaseLapse,DynamicLapse,LapseSkew,NetIndexCreditReimb,HedgeGains
1,1,1,67,862512.40620000,1121266.12800000,0.00047941,0.00000000,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,3.9395743255,413.49561341,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,862098.91058659,-5.74481029,-0.34715163,0.08333333,0.000000000,13.177699925
2,1,2,67,862098.91058659,1120728.58370259,0.00047880,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,3.9369453586,412.71994726,147.94609097,0.00000000,14.63203098,0.00000000,0.00000000,861523.61251738,-5.74481029,-0.34715163,0.08333333,0.000000000,18.334185606
3,1,3,67,861523.61251738,1119980.69621266,0.00047820,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,3.9343205245,411.92404716,147.84737035,0.00000000,14.62226740,0.00000000,0.00000000,860949.21883247,-5.74481029,-0.34715163,0.08333333,0.000000000,18.519809581
4,1,4,67,860949.21883247,1119233.98442232,0.00047760,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,3.9316998142,411.12993217,147.74880492,0.00000000,14.61251917,0.00000000,0.00000000,860375.72757621,-5.74481029,-0.34715163,0.08333333,0.000000000,18.707330317
5,1,5,67,860375.72757621,1118488.44578922,0.00047699,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,3.9290832190,410.33759758,147.65039435,0.00000000,14.60278625,0.00000000,0.00000000,859803.13679802,-5.74481029,-0.34715163,0.08333333,0.000000000,18.896767361
6,1,6,67,859803.13679802,1117744.07777762,0.00047639,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,3.9264707298,409.54703867,147.55213831,0.00000000,14.59306862,0.00000000,0.00000000,859231.44455241,-5.74481029,-0.34715163,0.08333333,0.000000000,19.088140461
7,1,7,67,859231.44455241,1117000.87785837,0.00047579,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,3.9238623378,408.75825075,147.45403647,0.00000000,14.58336624,0.00000000,0.00000000,858660.64889896,-5.74481029,-0.34715163,0.08333333,0.000000000,19.281469570
8,1,8,67,858660.64889896,1116258.84350891,0.00047519,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,3.9212580341,407.97122913,147.35608848,0.00000000,14.57367908,0.00000000,0.00000000,858090.74790226,-5.74481029,-0.34715163,0.08333333,0.000000000,19.476774848
9,1,9,67,858090.74790226,1115517.97221325,0.00047459,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,3.9186578100,407.18596916,147.25829402,0.00000000,14.56400710,0.00000000,0.00000000,857521.73963198,-5.74481029,-0.34715163,0.08333333,0.000000000,19.674076666
10,1,10,67,857521.73963198,1114778.26146192,0.00047399,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,3.9160616566,406.40246619,147.16065276,0.00000000,14.55435027,0.00000000,0.00000000,856953.62216276,-5.74481029,-0.34715163,0.08333333,0.000000000,19.873395604
11,1,11,67,856953.62216276,1114039.70875197,0.00047339,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,3.9134695652,405.62071556,147.06316436,0.00000000,14.54470856,0.00000000,0.00000000,856386.39357427,-5.74481029,-0.34715163,0.08333333,0.000000000,20.074752459
