Attained age,Female,Male
0,0.001801,0.001783
1,0.00045,0.000446
2,0.000287,0.000306
3,0.000199,0.000254
4,0.000152,0.000193
5,0.000139,0.000186
6,0.00013,0.000184
7,0.000122,0.000177
8,0.000105,0.000159
9,9.8e-05,0.000143
10,9.4e-05,0.000126
11,9.6e-05,0.000123
12,0.000105,0.000147
13,0.00012,0.000188
14,0.000146,0.000236
15,0.000174,0.000282
16,0.000199,0.000325
17,0.00022,0.000364
18,0.000234,0.000399
19,0.000245,0.00043
20,0.000253,0.000459
21,0.00026,0.000492
22,0.000266,0.000526
23,0.000272,0.000569
24,0.000275,0.000616
25,0.000277,0.000669
26,0.000284,0.000728
27,0.00029,0.000764
28,0.0003,0.000789
29,0.000313,0.000808
30,0.000333,0.000824
31,0.000357,0.000834
32,0.000375,0.000838
33,0.00039,0.000828
34,0.000405,0.000808
35,0.000424,0.000789
36,0.000447,0.000783
37,0.000476,0.0008
38,0.000514,0.000837
39,0.00056,0.000889
40,0.000613,0.000955
41,0.000667,0.001029
42,0.000723,0.00111
43,0.000774,0.001188
44,0.000823,0.001268
45,0.000866,0.001355
46,0.000917,0.001464
47,0.000983,0.001615
48,0.001072,0.001808
49,0.001168,0.002032
50,0.00129,0.002285
51,0.001453,0.002557
52,0.001622,0.002828
53,0.001792,0.003088
54,0.001972,0.003345
55,0.002166,0.003616
56,0.002393,0.003922
57,0.002666,0.004272
58,0.003,0.004681
59,0.003393,0.005146
60,0.003844,0.005662
61,0.004352,0.006237
62,0.004899,0.006854
63,0.005482,0.00751
64,0.006118,0.00822
65,0.006829,0.009007
66,0.007279,0.009497
67,0.007821,0.010085
68,0.008475,0.010787
69,0.009234,0.011625
70,0.010083,0.012619
71,0.011011,0.013798
72,0.01203,0.015195
73,0.013154,0.016834
74,0.014415,0.018733
75,0.015869,0.020905
76,0.017555,0.023367
77,0.0195,0.026155
78,0.021758,0.029306
79,0.024412,0.032858
80,0.027579,0.036927
81,0.031501,0.041703
82,0.036122,0.046957
83,0.041477,0.052713
84,0.047589,0.059148
85,0.054441,0.066505
86,0.061972,0.075015
87,0.070155,0.084823
88,0.078963,0.095987
89,0.088336,0.108482
90,0.098197,0.122214
91,0.108323,0.136799
92,0.119188,0.152409
93,0.131334,0.169078
94,0.145521,0.186882
95,0.162722,0.205844
96,0.18212,0.219247
97,0.199661,0.238612
98,0.217946,0.258341
99,0.236834,0.278219
100,0.256357,0.298452
101,0.283802,0.32361
102,0.304716,0.344191
103,0.325819,0.364633
104,0.346936,0.384783
105,0.367898,0.4
106,0.387607,0.4
107,0.4,0.4
108,0.4,0.4
109,0.4,0.4
110,0.4,0.4
111,0.4,0.4
112,0.4,0.4
113,0.4,0.4
114,0.4,0.4
115,0.4,0.4
116,0.4,0.4
117,0.4,0.4
118,0.4,0.4
119,0.4,0.4
120,0.4,0.4
121,1,1
