PolicyID,TotalHedgeGains,Excel,Difference
2178,64033.75452,64188.82675,-155.0722311
2174,19646.44689,19745.78772,-99.34082885
2038,37651.63772,37747.99773,-96.36001357
2150,32178.35849,32255.3056,-76.94711246
2010,25511.79188,25576.25932,-64.46743733
1892,17056.35389,17119.26207,-62.90818023
2034,11534.28392,11595.32968,-61.04576211
2234,23496.27618,23553.17773,-56.90154699
2146,8640.338743,8683.946517,-43.60777434
1752,10896.72016,10937.85464,-41.13448438
2230,8112.385009,8153.404691,-41.019682
2006,6839.517539,6875.648286,-36.13074725
638,11765.58094,11795.69202,-30.11107768
778,11797.16001,11825.7295,-28.56948832
1622,28949.55207,28978.01775,-28.46567971
1948,7700.34785,7728.748698,-28.40084849
2094,10447.55899,10474.29692,-26.73793225
1864,7036.550095,7062.483528,-25.9334334
2066,10146.72595,10171.97902,-25.25307136
2206,10180.17158,10204.14788,-23.97630173
610,9091.446239,9114.420016,-22.97377699
1724,6042.966378,6065.761362,-22.79498357
750,9062.070325,9083.740169,-21.66984355
1482,20700.10567,20721.40494,-21.29926785
834,8685.030679,8706.063448,-21.03276871
2090,3601.604845,3620.666515,-19.06167036
1594,19036.77042,19054.7179,-17.9474811
1454,17467.59946,17484.83238,-17.2329164
634,3239.361376,3256.505855,-17.14447899
774,3253.057797,3269.506648,-16.4488505
830,2673.198612,2686.715446,-13.51683428
2062,2405.285738,2417.771257,-12.48551871
1614,9504.302084,9516.769884,-12.46779979
1808,3186.70111,3198.730722,-12.02961153
2202,2416.948871,2428.935844,-11.98697333
606,2220.020622,2231.748204,-11.72758198
694,4424.564092,4435.887665,-11.32357305
746,2216.327019,2227.512818,-11.18579917
492,2747.068168,2757.200056,-10.13188804
1474,6780.205377,6789.238482,-9.033105458
666,3578.314508,3587.220183,-8.905675268
806,3754.338999,3763.181203,-8.842203687
1678,8916.954935,8925.722848,-8.767913278
352,2202.203382,2210.516573,-8.313190658
1982,3322.655579,3330.459693,-7.804114008
1510,7539.074715,7546.308855,-7.234140227
690,1359.759416,1366.956009,-7.196593386
548,1867.894601,1874.783873,-6.889272032
1780,1835.323886,1842.134366,-6.810479668
1538,6448.196214,6454.831052,-6.634838154
82,6264.477467,6270.923268,-6.445801249
1650,6704.395101,6710.542779,-6.147678262
1920,1622.444146,1628.326551,-5.882404771
1586,4270.082913,4275.6739,-5.590986558
222,5494.899901,5500.302957,-5.403055889
324,1427.327941,1432.712038,-5.384096507
1446,3909.056386,3914.254523,-5.198137311
54,5257.968573,5263.155899,-5.187325799
2122,2305.13896,2310.263001,-5.124040807
1670,3884.825478,3889.921615,-5.096137164
464,1308.675795,1313.498962,-4.823166987
194,4662.570608,4666.966384,-4.395776449
2442,2562.926358,2567.107849,-4.181491374
278,4188.120274,4192.238392,-4.118118289
802,824.044097,828.1309833,-4.086886288
662,784.194618,788.2652687,-4.070650697
408,1025.853167,1029.725703,-3.872535827
1530,2802.754701,2806.488743,-3.734041898
1610,3203.776855,3207.241707,-3.464851928
1978,642.642943,645.7874825,-3.144539503
582,1257.529585,1260.483217,-2.9536321
1426,3337.574544,3340.49125,-2.916706395
1192,1996.930028,1999.840635,-2.910607047
2732,2268.664681,2271.570296,-2.905615096
2302,1683.299951,1686.199768,-2.899816943
2726,1318.722785,1321.596826,-2.874041014
1186,1099.405713,1102.03656,-2.630846811
110,2630.668274,2633.192539,-2.524265014
1470,2284.61801,2287.124743,-2.506732552
722,1099.090445,1101.533588,-2.443143368
2592,1581.260716,1583.553251,-2.292535352
74,1643.22597,1645.415199,-2.18922924
2586,914.701188,916.8900416,-2.188853584
138,2041.392769,2043.49325,-2.100480787
2118,446.504672,448.5924346,-2.087762567
1164,1367.362404,1369.354068,-1.991664082
250,2164.226977,2166.211492,-1.984515346
214,1444.708806,1446.603984,-1.89517755
1566,2237.5993,2239.467879,-1.868578932
270,1411.032975,1412.883977,-1.851001861
520,507.57821,509.4185078,-1.840297838
1332,1424.31294,1426.146777,-1.833836557
2498,1122.514707,1124.346123,-1.831415844
2564,1224.374843,1226.148782,-1.773939312
380,477.731378,479.5041327,-1.772754698
2414,1073.405458,1075.159541,-1.754082623
1158,729.008675,730.7551819,-1.746506917
1326,787.92916,789.646383,-1.717222963
2704,1306.301914,1307.973874,-1.671959604
2274,961.745518,963.4049676,-1.659449648
2558,679.701081,681.3294607,-1.628379728
2698,728.720831,730.3108292,-1.589998215
1582,1408.697326,1410.220883,-1.523557482
1042,928.979314,930.4949717,-1.5156577
1502,1145.257968,1146.753235,-1.495267291
1666,1332.577839,1334.019009,-1.441169893
1442,1289.083557,1290.498029,-1.414472054
902,796.867326,798.2400877,-1.372761716
46,990.654358,991.9716987,-1.317340668
1642,1020.8011,1022.113418,-1.312317568
26,1493.857203,1495.162685,-1.305481617
1696,365.773719,367.0570846,-1.283365572
2782,578.870531,580.1321288,-1.261597759
1304,959.183959,960.4181181,-1.23415914
2788,963.185192,964.4188004,-1.233608432
186,880.509236,881.6621206,-1.15288464
578,229.348222,230.4704537,-1.122231736
1298,513.859294,514.9804853,-1.121191285
1248,737.209058,738.2835704,-1.07451236
1526,961.025434,962.0798923,-1.054458253
1836,299.48089,300.5076196,-1.026729577
1242,416.591685,417.588577,-0.99689203
