QualStatus,IssueAge,Gender,InitialBB,InitialPols,InitialPremium,Benefit_Base_Bucket,Percentage,CreditingStrategy,PolicyID,SCPeriod,valRate,MGIR,Bonus,RollupType,Rollup,RollupDuration,GLWBStartYear,WaitPeriod
N,57,Female,37.61614104,0.001347535,28.93549311,"[0, 50000)",0.000318379,Fixed,1,10,0.0475,0.01,0,Simple,0.1,10,1,0
N,57,Female,112.8484231,0.004042606,86.80647933,"[0, 50000)",0.000955137,Indexed,2,10,0.0475,0.01,0,Simple,0.1,10,1,0
N,57,Female,25.42309651,0.00091074,19.55622808,"[0, 50000)",0.000215178,Fixed,3,10,0.0475,0.01,0,Simple,0.1,10,2,1
N,57,Female,76.26928952,0.00273222,58.66868425,"[0, 50000)",0.000645535,Indexed,4,10,0.0475,0.01,0,Simple,0.1,10,2,1
N,57,Female,73.67797985,0.002639391,56.67536911,"[0, 50000)",0.000623602,Fixed,5,10,0.0475,0.01,0,Simple,0.1,10,3,2
N,57,Female,221.0339395,0.007918172,170.0261073,"[0, 50000)",0.001870807,Indexed,6,10,0.0475,0.01,0,Simple,0.1,10,3,2
N,57,Female,107.9283671,0.003866353,83.02182083,"[0, 50000)",0.000913494,Fixed,7,10,0.0475,0.01,0,Simple,0.1,10,4,3
N,57,Female,323.7851012,0.01159906,249.0654625,"[0, 50000)",0.002740481,Indexed,8,10,0.0475,0.01,0,Simple,0.1,10,4,3
N,57,Female,154.4281593,0.005532131,118.7908918,"[0, 50000)",0.001307063,Fixed,9,10,0.0475,0.01,0,Simple,0.1,10,5,4
N,57,Female,463.2844779,0.016596393,356.3726753,"[0, 50000)",0.003921188,Indexed,10,10,0.0475,0.01,0,Simple,0.1,10,5,4
N,57,Female,215.713491,0.007727576,165.9334546,"[0, 50000)",0.001825775,Fixed,11,10,0.0475,0.01,0,Simple,0.1,10,6,5
N,57,Female,647.140473,0.023182727,497.8003638,"[0, 50000)",0.005477325,Indexed,12,10,0.0475,0.01,0,Simple,0.1,10,6,5
N,57,Female,293.9745657,0.010531148,226.1342813,"[0, 50000)",0.002488168,Fixed,13,10,0.0475,0.01,0,Simple,0.1,10,7,6
N,57,Female,881.923697,0.031593443,678.4028439,"[0, 50000)",0.007464504,Indexed,14,10,0.0475,0.01,0,Simple,0.1,10,7,6
N,57,Female,390.5751818,0.013991704,300.4424475,"[0, 50000)",0.003305785,Fixed,15,10,0.0475,0.01,0,Simple,0.1,10,8,7
N,57,Female,1171.725545,0.041975111,901.3273425,"[0, 50000)",0.009917355,Indexed,16,10,0.0475,0.01,0,Simple,0.1,10,8,7
N,57,Female,847.7525759,0.03036932,652.1173661,"[0, 50000)",0.007175284,Fixed,17,10,0.0475,0.01,0,Simple,0.1,10,9,8
N,57,Female,2543.257728,0.09110796,1956.352098,"[0, 50000)",0.021525852,Indexed,18,10,0.0475,0.01,0,Simple,0.1,10,9,8
