Month,PolicyYear,MonthInPY,Age,BOP_AV,BOP_BB,FinalMortality,FinalLapse,PWD_Rate,RiderChargeRate,CreditedRate,SurrChgPct,FPW_Pct,Lives,Mortality,Lapse,PWD,SurrChg,RiderChg,Interest,EOP_AV,BaseLapse,DynamicLapse,LapseSkew
1,1,1,67,80841.03000000,105093.33000000,0.00038158,0.00000000,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.7845905029,30.84719047,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,80810.18280953,-5.74481029,-0.34715150,0.08333333
2,1,2,67,80810.18280953,105053.22865582,0.00038116,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.7841435222,30.79785713,13.86808552,0.00000000,1.37156890,0.00000000,0.00000000,80764.14529798,-5.74481029,-0.34715150,0.08333333
3,1,3,67,80764.14529798,104993.37989593,0.00038075,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.7836971225,30.74669697,13.86018551,0.00000000,1.37078758,0.00000000,0.00000000,80718.16762792,-5.74481029,-0.34715150,0.08333333
4,1,4,67,80718.16762792,104933.60892998,0.00038033,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.7832513027,30.69563465,13.85229577,0.00000000,1.37000727,0.00000000,0.00000000,80672.24969023,-5.74481029,-0.34715150,0.08333333
5,1,5,67,80672.24969023,104873.91561609,0.00037991,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.7828060618,30.64466995,13.84441628,0.00000000,1.36922798,0.00000000,0.00000000,80626.39137601,-5.74481029,-0.34715150,0.08333333
6,1,6,67,80626.39137601,104814.29981271,0.00037950,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.7823613988,30.59380266,13.83654703,0.00000000,1.36844971,0.00000000,0.00000000,80580.59257661,-5.74481029,-0.34715150,0.08333333
7,1,7,67,80580.59257661,104754.76137859,0.00037908,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.7819173125,30.54303256,13.82868799,0.00000000,1.36767244,0.00000000,0.00000000,80534.85318362,-5.74481029,-0.34715150,0.08333333
8,1,8,67,80534.85318362,104695.30017280,0.00037867,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.7814738019,30.49235944,13.82083914,0.00000000,1.36689618,0.00000000,0.00000000,80489.17308887,-5.74481029,-0.34715150,0.08333333
9,1,9,67,80489.17308887,104635.91605471,0.00037826,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.7810308661,30.44178306,13.81300047,0.00000000,1.36612093,0.00000000,0.00000000,80443.55218442,-5.74481029,-0.34715150,0.08333333
10,1,10,67,80443.55218442,104576.60888399,0.00037784,0.00018861,0.00000000,0.00000000,0.00000000,0.09000000,0.00000000,0.7805885038,30.39130323,13.80517195,0.00000000,1.36534668,0.00000000,0.00000000,80397.99036256,-5.74481029,-0.34715150,0.08333333
